Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Control Method,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,other details
B10DG3C,Industrial Diesel Generator,Sodium,0.1883,0.11,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-23-5,Na,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.21",https://doi.org/10.1016/j.atmosres.2013.04.032,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Nickel,0.0971,0.1492,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-02-0,Ni,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.22",https://doi.org/10.1016/j.atmosres.2013.04.033,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Phosphorus,0.2174,0.126,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7723-14-0,P,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.23",https://doi.org/10.1016/j.atmosres.2013.04.034,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Lead,0.1348,0.1477,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7439-92-1,Pb,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.24",https://doi.org/10.1016/j.atmosres.2013.04.035,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Palladium,0.1411,0.083,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,2023568,Pd,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.25",https://doi.org/10.1016/j.atmosres.2013.04.036,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Antimony,0.241,0.0887,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-36-0,Sb,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.26",https://doi.org/10.1016/j.atmosres.2013.04.037,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Scandium,0.006,0.0038,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-20-2,Sc,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.27",https://doi.org/10.1016/j.atmosres.2013.04.038,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Selenium,0.6585,0.1077,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7782-49-2,Se,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.28",https://doi.org/10.1016/j.atmosres.2013.04.039,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Silicon,0.9011,0.1036,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-21-3,Si,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.29",https://doi.org/10.1016/j.atmosres.2013.04.040,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Samarium,0.1299,0.0933,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-19-9,Sm,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.30",https://doi.org/10.1016/j.atmosres.2013.04.041,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
